user_id,bucket_start,samples,heart_rate_avg,heart_rate_min,heart_rate_max,steps_sum,respiratory_rate_avg,activity_energy_sum,distance_sum
U11111,2025-09-15 20:45:00,9,78.6,50,109,718,15.6,66.27,0.578
U11111,2025-09-15 21:00:00,12,76.0,46,120,698,15.3,72.62,0.561
U11111,2025-09-15 21:15:00,13,77.8,45,119,635,15.6,89.29,0.488
U11111,2025-09-15 21:30:00,13,78.9,45,112,1070,16.0,93.57,0.831
U11111,2025-09-15 21:45:00,15,75.7,48,109,1264,17.3,101.57,1.013
U11111,2025-09-15 22:00:00,13,64.1,45,95,71,15.6,82.02,0.057
U11111,2025-09-15 22:15:00,13,65.7,45,102,79,16.6,122.71,0.060
U11111,2025-09-15 22:30:00,11,67.7,45,100,39,15.6,81.63,0.030
U11111,2025-09-15 22:45:00,14,64.5,45,98,68,16.4,91.14,0.054
U11111,2025-09-15 23:00:00,10,63.2,45,101,63,16.0,100.95,0.052
U11111,2025-09-15 23:15:00,14,65.1,45,106,66,15.2,105.70,0.053
U11111,2025-09-15 23:30:00,10,65.7,45,103,59,15.3,72.25,0.047
U11111,2025-09-15 23:45:00,13,64.8,45,100,52,16.9,68.02,0.040
U11111,2025-09-16 00:00:00,14,63.9,45,102,56,16.1,85.04,0.045
U11111,2025-09-16 00:15:00,10,65.8,45,98,37,17.1,60.35,0.030
U11111,2025-09-16 00:30:00,13,66.2,45,104,32,15.7,112.64,0.027
U11111,2025-09-16 00:45:00,12,64.3,45,95,59,16.9,99.51,0.048
U11111,2025-09-16 01:00:00,14,67.6,45,106,71,15.9,97.98,0.056
U11111,2025-09-16 01:15:00,12,66.9,45,105,66,15.8,79.11,0.053
U11111,2025-09-16 01:30:00,12,65.3,45,103,64,15.8,120.80,0.056
U11111,2025-09-16 01:45:00,14,68.4,45,111,78,16.6,132.88,0.065
U11111,2025-09-16 02:00:00,11,65.4,45,105,46,15.4,98.54,0.036
U11111,2025-09-16 02:15:00,13,61.9,45,93,80,16.1,95.61,0.067
U11111,2025-09-16 02:30:00,15,66.5,45,107,70,16.4,113.04,0.055
U11111,2025-09-16 02:45:00,14,66.1,45,102,82,16.2,95.48,0.067
U11111,2025-09-16 03:00:00,12,63.0,45,97,48,15.7,94.47,0.039
U11111,2025-09-16 03:15:00,11,67.6,45,106,42,15.2,52.22,0.034
U11111,2025-09-16 03:30:00,12,60.8,45,99,80,16.8,88.78,0.066
U11111,2025-09-16 03:45:00,13,63.3,45,108,75,15.6,113.84,0.062
U11111,2025-09-16 04:00:00,12,65.8,45,106,50,16.7,89.54,0.039
U11111,2025-09-16 04:15:00,12,64.9,45,93,70,16.2,118.59,0.059
U11111,2025-09-16 04:30:00,14,64.3,45,107,90,16.2,126.50,0.074
U11111,2025-09-16 04:45:00,11,66.8,45,104,44,16.4,101.96,0.034
U11111,2025-09-16 05:00:00,12,67.8,45,103,59,16.7,112.50,0.048
U11111,2025-09-16 05:15:00,13,67.1,45,94,79,16.0,108.69,0.065
U11111,2025-09-16 05:30:00,11,67.1,45,103,52,15.7,88.49,0.042
U11111,2025-09-16 05:45:00,12,67.3,45,108,47,16.7,87.62,0.036
U11111,2025-09-16 06:00:00,14,65.7,45,102,73,16.1,118.45,0.060
U11111,2025-09-16 06:15:00,12,66.1,45,98,47,17.4,87.43,0.039
U11111,2025-09-16 06:30:00,12,63.7,45,103,56,16.0,90.56,0.047
U11111,2025-09-16 06:45:00,14,67.0,45,108,86,15.2,80.67,0.068
U11111,2025-09-16 07:00:00,12,91.3,67,124,929,16.2,84.95,0.763
U11111,2025-09-16 07:15:00,13,99.3,73,139,1032,16.2,101.01,0.793
U11111,2025-09-16 07:30:00,11,101.4,67,140,752,16.9,75.09,0.563
U11111,2025-09-16 07:45:00,13,96.0,68,123,653,16.9,93.79,0.509
U11111,2025-09-16 08:00:00,13,96.5,57,130,953,16.7,86.56,0.744
U11111,2025-09-16 08:15:00,12,96.8,65,130,1043,15.8,89.39,0.801
U11111,2025-09-16 08:30:00,15,96.4,62,128,1116,16.0,138.83,0.869
U11111,2025-09-16 08:45:00,12,103.1,61,141,762,15.3,87.88,0.619
U11111,2025-09-16 09:00:00,13,91.8,63,134,846,16.1,83.59,0.663
U11111,2025-09-16 09:15:00,13,93.7,65,133,1145,15.9,106.87,0.917
U11111,2025-09-16 09:30:00,13,92.3,61,133,1158,15.8,91.92,0.921
U11111,2025-09-16 09:45:00,12,95.3,67,135,1187,16.6,81.04,0.950
U11111,2025-09-16 10:00:00,14,79.6,50,119,1044,16.9,101.47,0.840
U11111,2025-09-16 10:15:00,13,78.5,45,121,862,16.4,91.10,0.683
U11111,2025-09-16 10:30:00,13,80.5,51,113,855,16.8,84.02,0.660
U11111,2025-09-16 10:45:00,11,74.1,53,112,781,16.4,96.24,0.620
U11111,2025-09-16 11:00:00,12,78.0,52,109,808,16.3,95.73,0.683
U11111,2025-09-16 11:15:00,13,71.3,45,107,989,16.0,79.09,0.794
U11111,2025-09-16 11:30:00,14,79.1,50,114,1083,16.5,104.75,0.849
U11111,2025-09-16 11:45:00,11,77.7,50,117,799,17.2,109.93,0.644
U11111,2025-09-16 12:00:00,13,79.7,55,122,1128,16.3,102.86,0.913
